GameID,Action,Row,Col,Result,Adjacent3x3
1,reveal,5,3,safe,"[[None, None, None], [None, 1, None], [None, None, None]]"
1,reveal,7,5,game_over,"[[None, None, None], [None, -1, None], [None, None, None]]"
2,reveal,3,3,game_over,"[[None, None, None], [None, -1, None], [None, None, None]]"
2,reveal,7,0,safe,"[[None, 1, 1], [None, 0, 0], [None, None, None]]"
2,flag,3,3,AI_flagged,"[[None, None, 1], [None, 'F', 1], [1, 1, 1]]"
2,reveal,1,3,safe,"[[None, None, None], [None, 2, 1], [None, None, 1]]"
2,reveal,2,3,safe,"[[None, 2, 1], [None, 3, 1], [None, 'F', 1]]"
2,reveal,3,1,safe,"[[None, None, None], [None, 3, None], [None, 2, 1]]"
2,reveal,3,2,safe,"[[None, None, 3], [3, 2, 'F'], [2, 1, 1]]"
2,flag,4,0,AI_flagged,"[[None, None, 3], [None, 'F', 2], [None, None, 2]]"
2,flag,5,0,AI_flagged,"[[None, 'F', 2], [None, 'F', 2], [None, 1, 1]]"
2,reveal,3,0,safe,"[[None, None, None], [None, 2, 3], [None, 'F', 2]]"
2,flag,7,6,AI_flagged,"[[1, 1, 1], [1, 'F', None], [None, None, None]]"
2,reveal,7,7,safe,"[[1, 1, None], ['F', 1, None], [None, None, None]]"
2,reveal,1,2,game_over,"[[None, None, None], [None, -1, 2], [None, None, 3]]"
3,reveal,6,3,safe,"[[None, None, None], [None, 2, None], [None, None, None]]"
3,reveal,5,0,safe,"[[None, None, None], [None, 2, None], [None, None, None]]"
3,reveal,0,2,safe,"[[None, None, None], [0, 0, 0], [0, 0, 0]]"
3,flag,3,1,AI_flagged,"[[1, 1, 1], [None, 'F', 1], [None, None, None]]"
3,reveal,3,0,safe,"[[None, 1, 1], [None, 2, 'F'], [None, None, None]]"
3,flag,3,5,AI_flagged,"[[1, 1, 2], [2, 'F', None], [None, None, None]]"
3,reveal,3,6,safe,"[[1, 2, None], ['F', 1, None], [None, None, None]]"
3,reveal,4,1,safe,"[[2, 'F', 1], [None, 3, None], [2, None, None]]"
3,reveal,4,2,safe,"[['F', 1, 1], [3, 3, None], [None, None, None]]"
3,reveal,4,3,safe,"[[1, 1, 2], [3, 2, None], [None, None, None]]"
3,flag,4,4,AI_flagged,"[[1, 2, 'F'], [2, 'F', None], [None, None, None]]"
